cell,Actb,B2m,Bach2,Batf,Birc5,Ccr7,Cd160,Cd3d,Cd3e,Cd8a,Cd8b,Cdk1,Ctla4,Cx3cr1,Dnmt3a,Egr2,Entpd1,Gapdh,Gnly,Gzmb,Gzmk,Havcr2,Ifng,Ikzf2,Il7r,Klrd1,Klrg1,Lag3,Lef1,Malat1,Mki67,Nkg7,Nr4a1,Nr4a2,Nr4a3,Pcna,Pdcd1,Prdm1,Prf1,Ptprc,Rpl13,Sell,Slamf6,Stmn1,Tbx21,Tcf7,Tigit,Top2a,Tox,Trac
mouse_TIL_00,52.0,33.0,4.0,4.0,2.0,4.0,36.0,48.0,3.0,30.0,3.0,3.0,2.0,2.0,2.0,23.0,56.0,46.0,4.0,42.0,3.0,93.0,3.0,43.0,3.0,3.0,3.0,43.0,2.0,3.0,3.0,4.0,38.0,4.0,53.0,2.0,57.0,30.0,66.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,60.0,3.0,40.0,2.0
mouse_TIL_01,48.0,23.0,1.0,1.0,3.0,2.0,28.0,49.0,2.0,44.0,2.0,2.0,3.0,2.0,3.0,25.0,39.0,49.0,3.0,37.0,1.0,60.0,3.0,33.0,3.0,3.0,3.0,40.0,3.0,1.0,2.0,2.0,39.0,2.0,25.0,2.0,32.0,31.0,33.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,59.0,2.0,47.0,2.0
mouse_TIL_02,41.0,59.0,1.0,2.0,1.0,2.0,37.0,48.0,2.0,48.0,2.0,3.0,1.0,2.0,2.0,25.0,41.0,52.0,2.0,45.0,1.0,66.0,2.0,30.0,2.0,2.0,3.0,44.0,2.0,2.0,2.0,1.0,16.0,2.0,29.0,1.0,51.0,24.0,15.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,52.0,3.0,42.0,2.0
mouse_TIL_03,56.0,41.0,1.0,3.0,2.0,2.0,21.0,43.0,2.0,43.0,1.0,2.0,2.0,1.0,1.0,16.0,31.0,50.0,2.0,41.0,2.0,34.0,2.0,22.0,2.0,2.0,2.0,58.0,1.0,1.0,3.0,2.0,31.0,2.0,18.0,2.0,36.0,27.0,34.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,51.0,3.0,27.0,1.0
mouse_TIL_04,36.0,58.0,40.0,4.0,4.0,2.0,3.0,34.0,3.0,39.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,36.0,2.0,2.0,3.0,4.0,2.0,3.0,36.0,2.0,3.0,19.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,32.0,2.0,4.0,2.0,3.0,3.0,43.0,3.0,4.0,44.0,5.0,3.0,34.0,2.0
mouse_TIL_05,38.0,59.0,19.0,2.0,2.0,3.0,2.0,49.0,3.0,38.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,22.0,2.0,4.0,2.0,2.0,3.0,3.0,20.0,4.0,2.0,21.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,35.0,2.0,2.0,3.0,3.0,2.0,57.0,3.0,2.0,48.0,3.0,3.0,40.0,3.0
mouse_TIL_06,56.0,60.0,39.0,3.0,3.0,2.0,2.0,32.0,2.0,46.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,32.0,2.0,3.0,2.0,2.0,3.0,2.0,29.0,3.0,2.0,32.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,51.0,3.0,2.0,4.0,2.0,3.0,45.0,4.0,3.0,63.0,2.0,3.0,34.0,2.0
mouse_TIL_07,55.0,38.0,2.0,2.0,4.0,3.0,3.0,23.0,3.0,44.0,3.0,4.0,2.0,24.0,3.0,4.0,4.0,27.0,3.0,83.0,55.0,3.0,30.0,2.0,2.0,49.0,4.0,3.0,2.0,2.0,2.0,45.0,4.0,3.0,2.0,2.0,2.0,2.0,56.0,4.0,4.0,2.0,3.0,4.0,67.0,2.0,2.0,3.0,2.0,2.0
mouse_TIL_08,58.0,60.0,2.0,2.0,2.0,4.0,3.0,22.0,3.0,33.0,3.0,3.0,2.0,36.0,3.0,3.0,3.0,35.0,2.0,50.0,39.0,3.0,71.0,3.0,3.0,39.0,5.0,2.0,3.0,3.0,3.0,49.0,3.0,2.0,2.0,2.0,3.0,5.0,72.0,3.0,3.0,5.0,3.0,2.0,50.0,3.0,4.0,4.0,2.0,3.0
mouse_TIL_09,57.0,49.0,4.0,4.0,3.0,3.0,3.0,46.0,2.0,58.0,1.0,3.0,4.0,32.0,2.0,4.0,3.0,40.0,3.0,36.0,93.0,3.0,28.0,4.0,2.0,48.0,4.0,2.0,4.0,3.0,3.0,55.0,2.0,3.0,3.0,3.0,4.0,3.0,42.0,3.0,2.0,2.0,2.0,3.0,45.0,4.0,2.0,4.0,4.0,2.0
