cell,ACTB,B2M,BACH2,BATF,BIRC5,CCR7,CD160,CD3D,CD3E,CD8A,CD8B,CDK1,CTLA4,CX3CR1,DNMT3A,EGR2,ENTPD1,GAPDH,GNLY,GZMB,GZMK,HAVCR2,IFNG,IKZF2,IL7R,KLRD1,KLRG1,LAG3,LEF1,MALAT1,MKI67,NKG7,NR4A1,NR4A2,NR4A3,PCNA,PDCD1,PRDM1,PRF1,PTPRC,RPL13,SELL,SLAMF6,STMN1,TBX21,TCF7,TIGIT,TOP2A,TOX,TRAC
TIL_00,50.0,27.0,3.0,5.0,4.0,5.0,46.0,37.0,3.0,42.0,4.0,5.0,4.0,2.0,5.0,33.0,53.0,47.0,3.0,51.0,3.0,103.0,5.0,38.0,3.0,4.0,5.0,41.0,2.0,3.0,4.0,3.0,46.0,4.0,58.0,3.0,53.0,39.0,59.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,64.0,3.0,68.0,3.0
TIL_01,21.0,33.0,3.0,3.0,2.0,3.0,40.0,52.0,3.0,27.0,2.0,2.0,2.0,2.0,2.0,42.0,44.0,54.0,3.0,40.0,3.0,48.0,2.0,21.0,3.0,3.0,3.0,61.0,3.0,3.0,3.0,3.0,66.0,4.0,66.0,4.0,50.0,53.0,34.0,2.0,4.0,3.0,1.0,4.0,4.0,2.0,27.0,2.0,36.0,3.0
TIL_02,37.0,31.0,3.0,2.0,3.0,3.0,50.0,34.0,2.0,44.0,4.0,4.0,2.0,2.0,4.0,56.0,65.0,47.0,4.0,46.0,5.0,58.0,2.0,58.0,5.0,2.0,4.0,96.0,3.0,3.0,3.0,3.0,75.0,3.0,69.0,2.0,96.0,54.0,65.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,68.0,3.0,69.0,2.0
TIL_03,23.0,44.0,4.0,3.0,2.0,3.0,41.0,20.0,3.0,59.0,4.0,2.0,2.0,2.0,3.0,24.0,31.0,52.0,3.0,44.0,2.0,41.0,4.0,37.0,2.0,4.0,2.0,69.0,4.0,2.0,3.0,2.0,38.0,2.0,30.0,4.0,73.0,28.0,49.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,32.0,5.0,58.0,4.0
TIL_04,40.0,26.0,5.0,4.0,2.0,4.0,59.0,28.0,3.0,47.0,4.0,2.0,3.0,4.0,4.0,33.0,38.0,25.0,3.0,56.0,3.0,58.0,3.0,56.0,2.0,2.0,2.0,46.0,3.0,3.0,2.0,3.0,36.0,3.0,36.0,3.0,81.0,37.0,33.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,57.0,4.0,56.0,3.0
TIL_05,46.0,39.0,2.0,5.0,2.0,2.0,56.0,21.0,3.0,44.0,1.0,2.0,3.0,2.0,3.0,38.0,68.0,29.0,3.0,53.0,3.0,58.0,1.0,43.0,3.0,3.0,2.0,63.0,3.0,3.0,3.0,2.0,45.0,2.0,37.0,4.0,46.0,55.0,35.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,41.0,3.0,61.0,3.0
TIL_06,24.0,28.0,5.0,5.0,4.0,2.0,2.0,21.0,3.0,55.0,3.0,3.0,4.0,4.0,5.0,4.0,31.0,36.0,3.0,4.0,31.0,2.0,2.0,2.0,3.0,4.0,4.0,41.0,4.0,3.0,2.0,4.0,3.0,25.0,3.0,5.0,82.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,54.0,4.0,77.0,5.0
TIL_07,40.0,22.0,2.0,3.0,4.0,2.0,1.0,25.0,2.0,50.0,2.0,2.0,3.0,1.0,1.0,2.0,21.0,53.0,1.0,3.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,33.0,3.0,2.0,3.0,2.0,2.0,48.0,2.0,3.0,39.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,55.0,1.0,56.0,3.0
TIL_08,43.0,57.0,2.0,3.0,2.0,3.0,3.0,52.0,4.0,54.0,2.0,2.0,3.0,3.0,3.0,3.0,38.0,38.0,3.0,3.0,34.0,4.0,3.0,2.0,4.0,2.0,1.0,50.0,2.0,3.0,2.0,3.0,2.0,31.0,3.0,3.0,67.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,42.0,2.0,35.0,2.0
TIL_09,37.0,47.0,2.0,2.0,2.0,2.0,2.0,60.0,3.0,55.0,1.0,2.0,3.0,2.0,3.0,2.0,35.0,39.0,2.0,2.0,30.0,1.0,1.0,3.0,2.0,1.0,3.0,28.0,1.0,2.0,2.0,2.0,1.0,27.0,2.0,2.0,50.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,34.0,2.0,34.0,2.0
