cell,UMAP1,UMAP2,Exhaustion,Stemness,Terminality,Cytotoxicity,Proliferation,ChromatinFixation
ref_00000,-3.5065,-2.3564,0.1044,0.8952,0.0838,0.2117,0.2607,0.1403
ref_00001,-4.029,-2.8108,0.0983,0.9602,0.0994,0.105,0.2046,0.0823
ref_00002,-3.8487,-2.0685,0.0998,0.9231,0.1362,0.16,0.1677,0.1218
ref_00003,-4.0447,-3.0191,0.0705,0.8871,0.0558,0.0676,0.1754,0.1143
ref_00004,-3.3214,-1.9601,0.1163,0.9264,0.0701,0.1521,0.2596,0.1082
ref_00005,-3.9041,-1.8444,0.1277,0.9167,0.1278,0.1995,0.2606,0.1283
ref_00006,-3.9199,-2.9226,0.0773,0.9177,0.1101,0.117,0.1946,0.1231
ref_00007,-3.9424,-2.9674,0.0851,0.929,0.0769,0.0856,0.2596,0.101
ref_00008,-3.475,-2.5015,0.0817,0.8782,0.1132,0.0625,0.1713,0.089
ref_00009,-3.0537,-2.4176,0.0875,0.8891,0.0973,0.2515,0.3052,0.1374
ref_00010,-3.264,-2.5006,0.1216,0.8626,0.1492,0.2583,0.2641,0.1616
ref_00011,-3.7714,-1.8793,0.1067,0.8961,0.0777,0.1733,0.1986,0.1191
ref_00012,-3.9279,-2.4591,0.0933,0.8799,0.0498,0.1227,0.2518,0.0777
ref_00013,-3.2954,-1.6428,0.1551,0.8757,0.1447,0.1621,0.2351,0.1684
ref_00014,-3.6669,-1.8822,0.1117,0.905,0.1551,0.1711,0.2541,0.1087
ref_00015,-3.7545,-2.3239,0.1133,0.8773,0.1102,0.1878,0.2343,0.0912
ref_00016,-3.895,-2.1586,0.1318,0.8819,0.1236,0.1425,0.2686,0.0832
ref_00017,-3.9616,-2.274,0.0969,0.9251,0.1021,0.2286,0.2548,0.0979
ref_00018,-3.675,-2.6991,0.0088,0.9217,0.0481,0.1283,0.1806,0.0605
ref_00019,-3.5176,-1.9993,0.1066,0.919,0.0583,0.1539,0.1493,0.0338
ref_00020,-4.0541,-3.0353,0.0831,0.927,0.0788,0.1912,0.222,0.0861
ref_00021,-3.5057,-1.8452,0.1598,0.8844,0.1198,0.222,0.2303,0.144
ref_00022,-3.6414,-1.9946,0.1564,0.8971,0.0551,0.207,0.3141,0.1422
ref_00023,-3.9473,-1.9016,0.1014,0.9045,0.1144,0.2274,0.2502,0.0739
