cell,BACH2,BATF,BIRC5,CCR7,CD160,CDK1,CTLA4,CX3CR1,DNMT3A,EGR2,ENTPD1,GNLY,GZMB,GZMK,HAVCR2,IFNG,IKZF2,IL7R,KLRD1,KLRG1,LAG3,LEF1,MKI67,NKG7,NR4A1,NR4A2,NR4A3,PCNA,PDCD1,PRDM1,PRF1,SELL,SLAMF6,STMN1,TBX21,TCF7,TIGIT,TOP2A,TOX
ref_00000,6.056,3.743,3.349,7.153,3.743,3.743,3.743,4.024,3.743,3.743,3.743,4.024,3.743,3.349,3.349,3.349,4.024,6.699,4.024,3.349,3.743,5.955,3.743,3.349,4.024,3.349,3.743,3.743,4.024,3.743,3.743,6.682,5.99,3.743,3.349,6.938,4.024,4.024,3.349
ref_00001,6.419,3.164,3.836,6.706,3.836,3.164,3.836,3.164,3.164,3.836,3.164,3.164,3.164,3.164,3.164,3.836,3.836,6.524,3.836,3.836,3.164,6.419,3.164,3.836,3.836,3.836,3.836,3.836,3.836,3.164,3.836,6.168,5.763,3.164,4.235,6.951,3.836,3.836,3.836
ref_00002,6.072,3.968,3.572,6.841,3.572,2.907,3.968,3.572,3.968,3.572,3.572,3.572,3.572,3.572,2.907,3.572,3.968,6.946,3.572,3.968,3.572,6.22,2.907,3.572,3.572,2.907,2.907,3.572,2.907,3.572,3.968,6.49,5.687,3.572,3.968,6.702,2.907,3.572,3.572
ref_00003,5.837,2.944,2.944,6.027,3.61,3.61,3.61,3.61,3.61,3.61,3.61,2.944,3.61,4.007,3.61,2.944,3.61,6.762,3.61,2.944,2.944,6.555,3.61,3.61,2.944,2.944,3.61,3.61,3.61,3.61,4.007,6.861,6.15,2.944,3.61,6.555,3.61,3.61,3.61
ref_00004,6.296,3.635,3.635,6.841,3.635,3.916,3.916,3.635,3.635,3.243,3.635,3.635,3.243,3.635,3.635,3.243,3.916,6.225,4.135,3.243,3.243,6.462,3.243,3.243,3.635,3.635,3.916,3.635,3.916,3.635,3.916,7.085,6.383,3.916,3.635,6.929,3.635,3.916,3.916
ref_00005,6.025,3.526,3.526,6.882,3.922,3.526,3.922,3.922,3.526,3.922,3.526,3.526,3.922,4.205,3.526,3.922,3.526,6.332,3.526,3.922,3.922,6.756,3.922,3.526,4.205,3.526,3.922,3.526,3.922,3.526,3.922,6.865,6.389,3.922,3.526,7.024,4.205,3.922,3.526
ref_00006,6.405,3.05,3.05,6.915,3.719,3.719,3.719,3.719,3.719,3.719,3.05,4.117,3.05,3.05,3.719,3.719,3.719,6.559,3.05,3.719,3.719,6.223,3.05,3.05,3.719,3.719,3.719,3.05,3.719,3.719,3.05,6.223,5.713,4.117,3.719,6.741,3.05,3.719,3.719
ref_00007,6.63,3.762,3.368,6.533,3.762,3.762,3.368,3.762,4.043,3.762,3.762,3.368,3.762,3.368,3.762,2.708,4.043,6.63,3.762,3.762,3.762,6.611,4.043,3.762,3.368,3.762,3.368,3.762,3.762,3.368,3.368,7.162,6.533,3.368,3.762,7.106,3.368,4.043,3.762
ref_00008,6.343,3.596,2.93,6.847,3.993,2.93,2.93,3.596,3.596,2.93,3.596,2.93,3.596,3.596,3.596,3.596,3.993,6.638,3.596,3.596,3.993,6.056,3.596,3.596,3.596,2.93,3.596,3.596,2.93,3.993,3.596,6.488,6.173,3.596,3.596,6.59,3.993,3.596,3.993
ref_00009,6.48,3.933,3.538,6.554,2.873,4.216,2.873,3.538,3.933,4.216,4.216,3.933,3.933,3.538,4.216,3.933,4.216,6.48,3.538,3.538,3.933,6.372,4.216,3.933,3.933,4.216,3.538,3.933,3.538,2.873,3.933,6.554,6.343,3.933,4.216,7.327,3.933,3.538,3.538
ref_00010,6.218,3.605,3.605,6.497,3.605,3.605,3.605,3.605,4.001,4.001,4.001,4.001,3.605,4.001,3.605,3.605,3.605,6.692,3.605,4.001,2.939,6.757,3.605,4.001,3.605,4.001,3.605,4.001,3.605,4.284,4.001,6.412,6.287,3.605,3.605,6.911,4.001,4.001,4.001
ref_00011,6.334,3.588,2.922,6.674,3.588,3.588,3.588,3.588,3.588,3.588,2.922,3.984,3.588,3.588,3.984,2.922,3.984,7.01,3.588,3.588,3.588,6.581,3.588,3.588,3.984,3.588,3.588,3.588,3.588,3.984,3.588,6.088,6.047,3.588,3.588,6.875,3.588,3.588,3.984
ref_00012,6.526,3.557,3.557,6.057,3.557,3.557,3.557,3.557,3.557,3.557,3.557,3.557,3.953,3.557,3.953,2.892,3.953,7.127,2.892,3.557,2.892,5.929,3.953,4.236,3.557,3.557,3.953,3.953,3.953,3.557,3.557,6.621,6.363,3.557,3.557,7.026,3.557,3.557,3.557
ref_00013,6.075,3.933,3.933,6.708,3.933,3.538,3.933,3.538,3.933,3.538,3.933,3.538,3.538,3.933,3.538,3.538,3.538,7.021,3.538,3.933,3.538,6.428,3.933,3.933,3.538,3.933,3.538,3.933,3.538,3.933,3.538,6.505,6.075,2.873,3.933,6.4,3.538,3.538,3.538
