cell,cell_type,tex_state,species,modality,study
ref_00000,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00001,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00002,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00003,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00004,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00005,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00006,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00007,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00008,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00009,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00010,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00011,Naive/Memory,Naive/Memory,mouse,scRNA,B16_tumor_2022
ref_00012,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00013,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00014,Naive/Memory,Naive/Memory,human,scRNA,Melanoma_ICB_2023
ref_00015,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00016,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00017,Naive/Memory,Naive/Memory,human,scRNA,HCC_human_2024
ref_00018,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00019,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
ref_00020,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00021,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00022,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00023,Naive/Memory,Naive/Memory,human,scRNA,B16_tumor_2022
ref_00024,Naive/Memory,Naive/Memory,human,scRNA,CART_relapse_2024
ref_00025,Naive/Memory,Naive/Memory,mouse,scRNA,LCMV_chronic_2023
ref_00026,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00027,Naive/Memory,Naive/Memory,mouse,scRNA,Melanoma_ICB_2023
ref_00028,Naive/Memory,Naive/Memory,mouse,scRNA,HCC_human_2024
ref_00029,Naive/Memory,Naive/Memory,human,scRNA,LCMV_chronic_2023
