cell,peak_PDCD1_1,peak_PDCD1_2,peak_HAVCR2_1,peak_HAVCR2_2,peak_LAG3_1,peak_LAG3_2,peak_TOX_1,peak_TOX_2,peak_TCF7_1,peak_TCF7_2,peak_GZMB_1,peak_GZMB_2,peak_TBX21_1,peak_TBX21_2,peak_ENTPD1_1,peak_ENTPD1_2,peak_IL7R_1,peak_IL7R_2,peak_SELL_1,peak_SELL_2,peak_MKI67_1,peak_MKI67_2,peak_NR4A2_1,peak_NR4A2_2
ATAC_00,5.0,4.0,10.0,11.0,4.0,10.0,10.0,9.0,0.0,0.0,6.0,3.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_01,4.0,9.0,4.0,9.0,5.0,8.0,6.0,6.0,0.0,0.0,7.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_02,12.0,9.0,10.0,10.0,9.0,9.0,4.0,9.0,0.0,0.0,4.0,6.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_03,6.0,4.0,10.0,7.0,9.0,7.0,8.0,10.0,0.0,0.0,7.0,6.0,0.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_04,12.0,8.0,9.0,5.0,9.0,10.0,4.0,7.0,0.0,1.0,7.0,7.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_05,5.0,4.0,1.0,0.0,4.0,2.0,3.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_06,5.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_07,4.0,8.0,0.0,0.0,3.0,5.0,5.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAC_09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
